,League,Division,Number of Players
0,Rookie,1,21990
1,Rookie,2,8263
2,Rookie,3,8804
3,Rookie,4,7655
4,Rookie,5,7297
5,Iron,1,33245
6,Iron,2,18403
7,Iron,3,19116
8,Iron,4,16808
9,Iron,5,10772
10,Bronze,1,28859
11,Bronze,2,19211
12,Bronze,3,20441
13,Bronze,4,18878
14,Bronze,5,11797
15,Silver,1,47470
16,Silver,2,28588
17,Silver,3,28230
18,Silver,4,24035
19,Silver,5,14786
20,Gold,1,39821
21,Gold,2,22292
22,Gold,3,21056
23,Gold,4,19759
24,Gold,5,23387
25,Platinum,1,74129
26,Platinum,2,30832
27,Platinum,3,24141
28,Platinum,4,18673
29,Platinum,5,17461
30,Diamond,1,29803
31,Diamond,2,8415
32,Diamond,3,5504
33,Diamond,4,3488
34,Diamond,5,1568
35,Master,1,22405
