,League,Division,Number of Players
0,Rookie,1,21590
1,Rookie,2,8099
2,Rookie,3,8609
3,Rookie,4,7529
4,Rookie,5,7180
5,Iron,1,32681
6,Iron,2,18077
7,Iron,3,18822
8,Iron,4,16571
9,Iron,5,10624
10,Bronze,1,28397
11,Bronze,2,18901
12,Bronze,3,20001
13,Bronze,4,18493
14,Bronze,5,11666
15,Silver,1,46518
16,Silver,2,27865
17,Silver,3,27536
18,Silver,4,23381
19,Silver,5,14444
20,Gold,1,38708
21,Gold,2,21602
22,Gold,3,20512
23,Gold,4,18985
24,Gold,5,22240
25,Platinum,1,70392
26,Platinum,2,29134
27,Platinum,3,22639
28,Platinum,4,17345
29,Platinum,5,16066
30,Diamond,1,26909
31,Diamond,2,7354
32,Diamond,3,4830
33,Diamond,4,3085
34,Diamond,5,1460
35,Master,1,17383
