,League,Division,Number of Players
0,Rookie,1,21469
1,Rookie,2,8061
2,Rookie,3,8560
3,Rookie,4,7460
4,Rookie,5,7143
5,Iron,1,32472
6,Iron,2,18008
7,Iron,3,18729
8,Iron,4,16426
9,Iron,5,10517
10,Bronze,1,28190
11,Bronze,2,18778
12,Bronze,3,19830
13,Bronze,4,18328
14,Bronze,5,11517
15,Silver,1,45934
16,Silver,2,27541
17,Silver,3,27179
18,Silver,4,23059
19,Silver,5,14222
20,Gold,1,38093
21,Gold,2,21307
22,Gold,3,20183
23,Gold,4,18592
24,Gold,5,21701
25,Platinum,1,69033
26,Platinum,2,28489
27,Platinum,3,22108
28,Platinum,4,16914
29,Platinum,5,15737
30,Diamond,1,25991
31,Diamond,2,7089
32,Diamond,3,4690
33,Diamond,4,2940
34,Diamond,5,1371
35,Master,1,16466
